CO2,TVOC,TIMESTAMP
410.0,1.0,2019-07-19 08:33
548.0,22.0,2019-07-19 08:49
477.0,11.0,2019-07-19 09:05
411.0,1.0,2019-07-19 09:21
424.0,3.0,2019-07-19 09:37
430.0,4.0,2019-07-19 09:53
418,2.0,2019-07-19 10:00
2629.0,2902.0,2019-07-19 10:24
400,0,2019-07-19 12:15
402.0,0,2019-07-19 12:18
617.0,33.0,2019-07-19 12:34
1040.0,97,2019-07-19 12:50
922.0,79,2019-07-19 13:06
848.0,68.0,2019-07-19 13:22
405.0,0,2019-07-19 15:35
416.0,2.0,2019-07-19 15:51
407.0,0.0,2019-07-19 16:07
408.0,1.0,2019-07-19 16:23
403.0,0.0,2019-07-19 16:39
423.0,3,2019-07-19 16:55
404.0,0.0,2019-07-19 18:52
402.0,0,2019-07-19 18:56
401.0,0,2019-07-19 19:06
402.0,0,2019-07-19 19:15
403.0,0,2019-07-19 19:23
400,0,2019-07-19 19:26
401.0,0,2019-07-19 19:30
400,0,2019-07-21 14:15
403.0,0,2019-07-21 15:07
402.0,0,2019-07-21 16:10
401.0,0,2019-07-21 16:21
402.0,0,2019-07-21 16:41
400,0,2019-07-23 09:01
408.0,1.0,2019-07-23 09:21
405.0,0.0,2019-07-23 09:41
417.0,2,2019-07-23 10:01
411.0,1.0,2019-07-23 10:21
408.0,1.0,2019-07-23 10:41
402.0,0.0,2019-07-23 10:54
3904.0,0.0,2019-07-23 11:00
2817.0,1.0,2019-07-23 11:01
407.0,1.0,2019-07-23 11:21
414.0,2.0,2019-07-23 11:41
404.0,0.0,2019-07-23 12:01
401.0,0.0,2019-07-23 12:21
403.0,0.0,2019-07-23 12:41
413,1.0,2019-07-23 13:01
404,0.0,2019-07-23 13:21
402.0,0,2019-07-23 13:41
414.0,2.0,2019-07-23 14:01
403.0,0.0,2019-07-23 14:21
401.0,0,2019-07-23 14:41
406.0,0.0,2019-07-23 15:01
403.0,0.0,2019-07-23 15:21
407.0,1.0,2019-07-23 15:41
404.0,0.0,2019-07-23 16:01
404.0,0.0,2019-07-23 16:21
404.0,1.0,2019-07-23 16:41
406.0,0.0,2019-07-23 17:01
401.0,0,2019-07-23 17:21
407.0,1.0,2019-07-23 17:41
401.0,0,2019-07-23 18:01
400.0,0,2019-07-23 18:21
405.0,0.0,2019-07-23 18:41
403.0,0.0,2019-07-23 19:01
405.0,0.0,2019-07-23 19:21
406.0,1.0,2019-07-23 19:41
401.0,0,2019-07-23 20:01
401.0,0,2019-07-23 20:21
404.0,0,2019-07-23 20:41
400.0,0,2019-07-23 21:01
401.0,0,2019-07-23 21:21
402.0,0,2019-07-23 21:41
404.0,0.0,2019-07-23 22:01
404.0,0.0,2019-07-23 22:21
400,0,2019-07-23 22:41
400,0,2019-07-23 23:01
404.0,0,2019-07-23 23:21
402.0,0,2019-07-24 00:01
401.0,0,2019-07-24 00:21
403.0,0,2019-07-24 00:41
400.0,0,2019-07-24 01:01
400.0,0,2019-07-24 01:21
402,0.0,2019-07-24 01:41
400.0,0,2019-07-24 02:01
400.0,0,2019-07-24 02:21
400,0,2019-07-24 02:41
400,0,2019-07-24 03:01
400.0,0,2019-07-24 03:21
400.0,0,2019-07-24 03:41
400,0,2019-07-24 04:01
400,0,2019-07-24 04:21
403.0,0,2019-07-24 04:41
403.0,0,2019-07-24 05:01
401,0,2019-07-24 05:21
402.0,0,2019-07-24 05:41
401.0,0,2019-07-24 06:01
400,0,2019-07-24 06:21
402.0,0,2019-07-24 06:41
401,0,2019-07-24 07:01
405,0,2019-07-24 07:21
402.0,0.0,2019-07-24 07:41
403.0,0.0,2019-07-24 08:01
402.0,0,2019-07-24 08:21
406.0,0.0,2019-07-24 08:41
402.0,0,2019-07-24 09:01
402.0,0,2019-07-24 09:21
403.0,0.0,2019-07-24 10:01
400,0,2019-07-24 10:21
405.0,0,2019-07-24 10:41
403.0,0.0,2019-07-24 11:01
402.0,0,2019-07-24 11:21
402.0,0.0,2019-07-24 11:41
402.0,0.0,2019-07-24 12:01
405.0,0.0,2019-07-24 12:21
412.0,1.0,2019-07-24 12:41
412,1.0,2019-07-24 13:01
422.0,3,2019-07-24 13:21
405.0,0.0,2019-07-24 13:41
409.0,1.0,2019-07-24 14:01
409.0,1.0,2019-07-24 14:21
410,1.0,2019-07-24 14:41
414.0,2.0,2019-07-24 15:01
405.0,0.0,2019-07-24 15:21
403,0.0,2019-07-24 15:41
402.0,0.0,2019-07-24 16:01
404.0,0.0,2019-07-24 16:21
401.0,0,2019-07-24 16:41
415.0,2.0,2019-07-24 17:01
416.0,2.0,2019-07-24 17:21
409,1.0,2019-07-24 17:41
402.0,0,2019-07-24 18:21
401,0,2019-07-24 18:41
412.0,2.0,2019-07-24 19:01
401.0,0,2019-07-24 19:21
412.0,1.0,2019-07-24 19:41
405.0,0.0,2019-07-24 20:01
402.0,0.0,2019-07-24 20:21
402.0,0.0,2019-07-24 20:41
404.0,0.0,2019-07-24 21:01
405.0,1.0,2019-07-24 21:21
402.0,0.0,2019-07-24 21:41
402.0,0,2019-07-24 22:01
403.0,0,2019-07-24 22:21
401.0,0,2019-07-24 22:41
401.0,0,2019-07-24 23:01
404.0,0,2019-07-24 23:21
403.0,0,2019-07-24 23:41
400.0,0,2019-07-25 00:01
404.0,0,2019-07-25 00:21
403.0,0,2019-07-25 00:41
402.0,0.0,2019-07-25 01:01
401.0,0,2019-07-25 01:21
404.0,0.0,2019-07-25 01:41
404.0,0.0,2019-07-25 02:01
404.0,1.0,2019-07-25 02:21
404.0,0.0,2019-07-25 02:41
404,0.0,2019-07-25 03:01
403.0,0.0,2019-07-25 03:21
403,0.0,2019-07-25 03:41
404.0,0.0,2019-07-25 04:01
406.0,1.0,2019-07-25 04:21
405.0,0.0,2019-07-25 04:41
